ID,std_length,tactic,cb,peduncle_edge,vb,gold_morph,swd_color,notes (everything in bold means = need 2nd opinion,image #
TABQ-18-XI-22-xmul-01-M,35.529,0,1,1,0,0,1,pretty sure there's no vertical bars but ask Dan,1806
TABQ-18-XI-22-xmul-02-M,32.184,0,1,1,1,0,1,,1808-09
TABQ-18-XI-22-xmul-03-M,34.236,0,1,1,1,0,1,p_e is kind of there i'm not sure (GAP: p_e present),1810-11
TABQ-18-XI-22-xmul-04-M,33.142,0,1,1,1,0,1,p_e is kind of there i'm not sure (GAP: p_e present),1812-1813
TABQ-18-XI-22-xmul-05-M,34.725,0,0,0,1,0,1,,1814-1815
TABQ-18-XI-22-xmul-06-M,34.335,0,0,0,1,0,1,,1816-17
TABQ-18-XI-22-xmul-07-M,30.762,0,1,0,1,0,1,,1818-19
TABQ-18-XI-22-xmul-08-M,33.627,0,0,0,1,0,1,the sword is black but not specifically p_e,1820-21
TABQ-18-XI-22-xmul-09-M,30.102,0,0,1,1,0,1,,1822-23
TABQ-18-XI-22-xmul-10-M,31.369,0,1,0,1,0,1,p_e is kind of there i'm not sure (GAP: p_e absent),24-25
TABQ-18-XI-22-xmul-11-M,30.431,0,1,1,1,0,1,all defining phenos are faint,26-27
TABQ-18-XI-22-xmul-12-M,31.533,0,1,1,1,0,1,p_e is faint,28-29
TABQ-18-XI-22-xmul-13-M,33.956,0,1,1,1,0,1,all defining phenos are faint,30-31
TABQ-18-XI-22-xmul-14-M,31.662,0,1,0,1,0,1,cb is faint,32-33
TABQ-18-XI-22-xmul-15-M,28.954,0,1,0,1,0,1,,34-35
TABQ-18-XI-22-xmul-16-M,35.145,0,1,1,1,0,1,all defining phenos are faint,36-37
TABQ-18-XI-22-xmul-17-M,30.947,0,1,1,1,0,1,all defining phenos are faint,38-39
TABQ-18-XI-22-xmul-18-M,29.401,0,0,1,1,0,1,no tail,40-41
TABQ-18-XI-22-xmul-19-M,29.197,0,1,1,1,0,0,,42-43
TABQ-18-XI-22-xmul-20-M,30.036,0,1,1,1,0,1,no tail,44-45
TABQ-18-XI-22-xmul-21-M,28.718,0,1,1,1,0,1,,46-47
TABQ-18-XI-22-xmul-22-M,30.619,0,1,1,1,0,1,no tail,48-49
TABQ-18-XI-22-xmul-23-M,29.567,0,1,1,1,0,1,,50-51
TABQ-18-XI-22-xmul-24-M,25.702,0,0,1,1,0,1,need a second opinion (GAP: cb absent),52-53
TABQ-18-XI-22-xmul-25-M,36.556,0,1,1,1,0,1,p_e is faint,54-55
TABQ-18-XI-22-xmul-26-M,28.29,0,1,1,1,0,1,all defining phenos are faint (GAP: cb present),56-57
TABQ-18-XI-22-xmul-27-M,28.479,0,1,1,1,0,1,phenos are faint but for sure courter,58-59
TABQ-18-XI-22-xmul-28-M,22.595,1,0,0,0,0,0,,60-61
TABQ-18-XI-22-xmul-29-M,21.68,1,0,1,0,0,0,there's an EXTREMELY faint cb on one side (GAP: cb absent),62-63
TABQ-18-XI-22-xmul-30-M,21.036,1,1,1,0,0,0,"p_e is faint, merely a black line (near contaminated negative on plate)",64-65
TABQ-18-XI-22-xmul-31-M,20.459,1,1,0,0,0,0,(near contaminated negative on plate),66-67
TABQ-18-XI-22-xmul-32-M,21.758,1,1,0,0,0,1,p_e needs a second opinion (near contaminated negative on plate),68-69
TABQ-18-XI-22-xmul-33-M,21.994,1,1,0,0,1,1,coolest pheno i've ever seen,70-71
TABQ-18-XI-22-xmul-34-M,22.772,1,1,0,0,0,1,,72-73
TABQ-18-XI-22-xmul-35-M,22.473,1,1,1,0,0,1,p_e needs a second opinion,74-75
TABQ-18-XI-22-xmul-36-M,20.065,1,1,1,0,0,0,both images affiliated with this fish give conflicting answers,76-77
TABQ-18-XI-22-xmul-37-M,21.099,1,1,1,0,0,1,both images affiliated with this fish give conflicting answers,78-79
TABQ-18-XI-22-xmul-38-M,21.097,1,1,1,0,0,0,,80-81
TABQ-18-XI-22-xmul-39-M,20.628,1,1,1,0,0,1,both images affiliated with this fish give conflicting answers,82-83
TABQ-18-XI-22-xmul-40-M,20.726,1,1,1,0,0,1,,84-85
TABQ-18-XI-22-xmul-41-M,20.715,1,0,1,0,0,0,need a second opinion,86-87
TABQ-18-XI-22-xmul-42-M,20.577,1,1,1,0,0,1,,88-89
TABQ-18-XI-22-xmul-43-M,23.186,0,0,1,1,0,1,not sure about the tactic (GAP: thinking courter but it's definitely on the smaller side),90-91
TABQ-18-XI-22-xmul-44-M,22.306,1,1,1,0,0,1,,92-93
TABQ-18-XI-22-xmul-45-M,21.528,1,0,1,0,0,1,need second opinion on cb,94-95
TABQ-18-XI-22-xmul-46-M,26.539,0,1,1,1,0,1,,96-97
TABQ-18-XI-22-xmul-47-M,21.111,1,1,1,0,0,1,p_e needs a second opinion,98-99
TABQ-18-XI-22-xmul-48-M,20.196,1,1,1,0,0,1,,1900-01
TABQ-18-XI-22-xmul-49-M,20.178,1,1,1,1,0,1,,3-Feb
TABQ-18-XI-22-xmul-50-M,20.938,1,1,1,0,0,0,not sure about both cb or p_e,5-Apr
TABQ-19-XI-22-xmul-01-M,33.398,0,1,0,1,0,1,p_e needs a second opinion,9-Aug
TABQ-19-XI-22-xmul-02-M,32.609,0,1,0,1,0,0,,11-Oct
TABQ-19-XI-22-xmul-03-M,32.77,0,1,1,1,0,1,,13-Dec
TABQ-19-XI-22-xmul-04-M,30.931,0,1,1,1,0,1,,14-15
TABQ-19-XI-22-xmul-05-M,29.286,0,1,1,1,0,1,"p_e needs a second opinion, both images give different p_e answers",16-17
TABQ-19-XI-22-xmul-06-M,29.619,0,1,0,1,0,1,need a second opinion on tactic and p_e (GAP: thinking courter but it's definitely on the smaller side),18-19
TABQ-19-XI-22-xmul-07-M,30.641,0,1,1,1,0,1,,20-21
TABQ-19-XI-22-xmul-08-M,29.726,0,1,1,1,0,1,p_e needs a second opinion,22-23
TABQ-19-XI-22-xmul-09-M,28.33,0,1,1,1,0,1,needs a second opinion for everything,24-25
TABQ-19-XI-22-xmul-10-M,26.954,0,0,1,1,0,1,both cb and p_e need a second opinion,26-27
TABQ-19-XI-22-xmul-11-M,24.798,0,1,1,1,0,1,p_e is like a straight black line (GAP: thinking courter but it's definitely on the smaller side),28-29
TABQ-19-XI-22-xmul-12-M,26.8,0,1,1,1,0,1,,30-31
TABQ-19-XI-22-xmul-13-M,21.875,1,0,1,0,0,0,both cb and p_e need a second opinion,32-33
TABQ-19-XI-22-xmul-14-M,22.886,0,0,0,1,1,1,another AWESOME pheno,34-35
TABQ-19-XI-22-xmul-15-M,21.615,1,1,1,0,0,1,,36-37
TABQ-19-XI-22-xmul-16-M,20.303,1,1,1,0,0,1,cb and p_e need second opinion. both images give diff answers,38-39
TABQ-19-XI-22-xmul-17-M,20.418,1,1,1,1,0,1,,40-41
TABQ-19-XI-22-xmul-18-M,21.004,1,1,1,0,0,1,p_e is pretty faint,42-43
TABQ-19-XI-22-xmul-19-M,19.785,1,1,1,0,0,1,p_e is pretty faint,44-45
TABQ-19-XI-22-xmul-20-M,19.882,1,1,1,1,1,1,cb and p_e need second opinion,46-47
TABQ-19-XI-22-xmul-21-M,19.803,1,1,1,0,0,1,,48-49
TABQ-19-XI-22-xmul-22-M,35.723,0,1,0,1,0,1,p_e needs a second opinion,50-51
TABQ-19-XI-22-xmul-23-M,28.923,0,1,0,1,0,1,p_e needs a second opinion,52-53
TABQ-19-XI-22-xmul-24-M,29.358,0,0,1,1,0,1,both cb and p_e need a second opinion,54-55
TABQ-19-XI-22-xmul-25-M,30.72,0,1,1,1,0,1,,56-57
TABQ-19-XI-22-xmul-26-M,28.841,0,1,1,1,0,1,,58-59
TABQ-19-XI-22-xmul-27-M,28.285,0,1,1,1,0,1,goldish for a courter? kinda skinny too,60-61
TABQ-19-XI-22-xmul-28-M,28.832,0,0,1,1,0,1,cb needs a second opinion,62-63
TABQ-19-XI-22-xmul-29-M,25.942,0,1,1,1,0,1,,64-65
TABQ-19-XI-22-xmul-30-M,24.751,0,0,1,1,0,1,tactic needs a second opinion  (GAP: thinking courter but it's definitely on the smaller side),66-67
TABQ-19-XI-22-xmul-31-M,22.345,1,1,1,0,0,0,"has a tail, but def a sneaker",68-69
TABQ-19-XI-22-xmul-32-M,20.253,1,1,1,0,0,1,,70-71
TABQ-19-XI-22-xmul-33-M,20.625,1,0,1,0,0,0,cb needs a second opinion,72-73
TABQ-19-XI-22-xmul-34-M,20.574,1,0,1,0,1,0,awesome pheno,74-75
TABQ-19-XI-22-xmul-35-M,21.496,1,1,1,0,0,1,,76-77
TABQ-19-XI-22-xmul-36-M,20.276,1,1,1,0,0,1,,78-79
TABQ-19-XI-22-xmul-37-M,19.23,1,1,1,0,0,1,,80-81
